# Symbol Reference File
# Format: SYMBOL_NAME ADDRESS
LABEL_E0B0ED 0xE0B0ED
LABEL_E0B0F0 0xE0B0F0
LABEL_E0B0F3 0xE0B0F3
LABEL_E0B0F6 0xE0B0F6
LABEL_E0B0F9 0xE0B0F9
LABEL_E0B0FC 0xE0B0FC
LABEL_E0B0FF 0xE0B0FF
LABEL_E0B102 0xE0B102
LABEL_E0B105 0xE0B105
LABEL_E0B108 0xE0B108
LABEL_E0B10B 0xE0B10B
LABEL_E0B10E 0xE0B10E
LABEL_E0B111 0xE0B111
LABEL_E0B114 0xE0B114
LABEL_E0B117 0xE0B117
LABEL_E0B11A 0xE0B11A
LABEL_E0B11D 0xE0B11D
LABEL_E0B120 0xE0B120
LABEL_E0B123 0xE0B123
LABEL_E0B126 0xE0B126
LABEL_E0B129 0xE0B129
LABEL_E0B12C 0xE0B12C
LABEL_E0B12F 0xE0B12F
LABEL_E0B132 0xE0B132
LABEL_E0B135 0xE0B135
LABEL_E0B138 0xE0B138
LABEL_E0B13B 0xE0B13B
LABEL_E0B13E 0xE0B13E
LABEL_E0B141 0xE0B141
LABEL_E0B144 0xE0B144
LABEL_E0B147 0xE0B147
LABEL_E0B14A 0xE0B14A
LABEL_E0B14D 0xE0B14D
SOUND_DATA_ORGAN_ACCORDION 0xE0B150
SOUND_DATA_ORCHESTRAL_PAD 0xE0B250
SOUND_DATA_SYNTH 0xE0B2D0
SOUND_DATA_BASS 0xE0B3D0
SOUND_DATA_DIGITAL_DRAWBAR 0xE0B3E2
SOUND_DATA_ACCORDION_REG 0xE0B3F4
SOUND_DATA_GM_SPECIAL 0xE0B406
SOUND_DATA_DRUM_KITS 0xE0B418
LABEL_E0B4ED 0xE0B4ED
LABEL_E0B5E7 0xE0B5E7
LABEL_E0B60E 0xE0B60E
LABEL_E0B6A6 0xE0B6A6
LABEL_E0B6CD 0xE0B6CD
LABEL_E0B784 0xE0B784
LABEL_E0B843 0xE0B843
LABEL_E0B8DE 0xE0B8DE
LABEL_E0B905 0xE0B905
LABEL_E0B92E 0xE0B92E
LABEL_E0B99D 0xE0B99D
LABEL_E0B9ED 0xE0B9ED
LABEL_E0BA60 0xE0BA60
LABEL_E0BB90 0xE0BB90
LABEL_E0C95B 0xE0C95B
LABEL_E0CA13 0xE0CA13
LABEL_E0CAF7 0xE0CAF7
LABEL_E0CD1E 0xE0CD1E
LABEL_E0CFDE 0xE0CFDE
LABEL_E0E407 0xE0E407
LABEL_E0E974 0xE0E974
LABEL_E0E99E 0xE0E99E
LABEL_E0E9A0 0xE0E9A0
FTDEMO_BMP01_TECHNICS_GLOBE 0xE0E9BA
LABEL_E0E9C2 0xE0E9C2
LABEL_E0E9EC 0xE0E9EC
LABEL_E0E9EE 0xE0E9EE
LABEL_E0EA08 0xE0EA08
LABEL_E0EA22 0xE0EA22
UI_CATEGORY_200_PRESET 0xE0EA42
LABEL_E0EA4E 0xE0EA4E
UI_CATEGORY_PERFORMANCE 0xE0EA6E
LABEL_E0EA7A 0xE0EA7A
LABEL_E0EA94 0xE0EA94
UI_CATEGORY_20_CUSTOM 0xE0EAB4
LABEL_E0EABE 0xE0EABE
LABEL_E0EAD8 0xE0EAD8
UI_CATEGORY_3_COMPOSER 0xE0EAF8
LABEL_E0EB04 0xE0EB04
UI_CATEGORY_BACKUP 0xE0EB24
LABEL_E0EB2C 0xE0EB2C
LABEL_E0EB46 0xE0EB46
LABEL_E0EB60 0xE0EB60
LABEL_E0EB7A 0xE0EB7A
LABEL_E0EB9E 0xE0EB9E
LABEL_E0EBB8 0xE0EBB8
LABEL_E0EBD2 0xE0EBD2
LABEL_E0EBF6 0xE0EBF6
LABEL_E0EC10 0xE0EC10
LABEL_E0EC2A 0xE0EC2A
LABEL_E0EC44 0xE0EC44
LABEL_E0EC5E 0xE0EC5E
LABEL_E0EC78 0xE0EC78
LABEL_E0EC92 0xE0EC92
LABEL_E0ECAC 0xE0ECAC
LABEL_E0ECD0 0xE0ECD0
LABEL_E0ECEA 0xE0ECEA
LABEL_E0ED04 0xE0ED04
LABEL_E0ED28 0xE0ED28
LABEL_E0ED4C 0xE0ED4C
LABEL_E0ED66 0xE0ED66
LABEL_E0ED80 0xE0ED80
LABEL_E0EDA4 0xE0EDA4
UI_CATEGORY_VOLATILE 0xE0EDC4
LABEL_E0EDCE 0xE0EDCE
UI_CATEGORY_NON_VOLATILE 0xE0EDEE
LABEL_E0EDFC 0xE0EDFC
UI_CATEGORY_PLAY_ONLY 0xE0EE1C
LABEL_E0EE26 0xE0EE26
UI_CATEGORY_7F 0xE0EE46
LABEL_E0EE4A 0xE0EE4A
LABEL_E0EE64 0xE0EE64
LABEL_E0EE7E 0xE0EE7E
LABEL_E0EE98 0xE0EE98
LABEL_E0EEB2 0xE0EEB2
LABEL_E0EECC 0xE0EECC
LABEL_E0EEE6 0xE0EEE6
LABEL_E0EF00 0xE0EF00
LABEL_E0EF1A 0xE0EF1A
LABEL_E0EF34 0xE0EF34
LABEL_E0EF4E 0xE0EF4E
LABEL_E0EF68 0xE0EF68
LABEL_E0EF82 0xE0EF82
LABEL_E0EF9C 0xE0EF9C
LABEL_E0EFB6 0xE0EFB6
LABEL_E0EFD0 0xE0EFD0
LABEL_E0EFEA 0xE0EFEA
LABEL_E0F004 0xE0F004
LABEL_E0F01E 0xE0F01E
LABEL_E0F038 0xE0F038
LABEL_E0F052 0xE0F052
LABEL_E0F06C 0xE0F06C
LABEL_E0F086 0xE0F086
LABEL_E0F0A0 0xE0F0A0
LABEL_E0F0BA 0xE0F0BA
LABEL_E0F0D4 0xE0F0D4
LABEL_E0F0EE 0xE0F0EE
LABEL_E0F108 0xE0F108
LABEL_E0F132 0xE0F132
